INFORME DIARIO DE INSPECCION Y DESTRUCCION DE RECIPIENTES - VIGILANCIA Y CONTROL DEL AEDES AEGYPTI
FECHA DE LOS REGISTROS:,22 jul. 2024
COORDENADAS,,,,VIVIENDAS,,ELEMENTOS EN DESUSO - OTROS,,,BOTELLAS VARIAS,,,RECIPIENTES PLASTICOS,,,MACETA-FLOREROS-PLANTA ACUATICA,,,HUECO O AXILA DE ARBOL,,,CANALETA PARA LLUVIA,,,CUBIERTAS,,,PILETAS-CISTERNAS-ALJIBES,,,TANQUES BASJOS Y ELEVADOS-BARRILES-TONELES,,,TOTALES,,,
LATITUD, LONGITUD, TIPO DE TRABAJO, LARVICIDA UTILIZADO, NUMERO DE RESIDENTES, CERRADAS O RENUENTES,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,FA,T,I,DESTRUIDOS
-27.765780699999997,-109.49335850000001,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.766246066666668,-109.49436145,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.764396416666667,-109.49584258333333,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.764296483333336,-109.495882216666665,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.76463756666667,-109.4709797,-INSPECCION DOMICILIARIA ,,0,no,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
-27.764608550000002,-109.471227433333326,-FUMIGACION,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.764544066666666,-109.47120513333333,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.764233816666668,-109.47128476666667,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.764052500000002,-109.47118251666667,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.76401283333333,-109.471526016666665,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.763870433333334,-109.47153718333334,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-27.76396893333333,-109.47168436666666,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.763598833333337,-109.47154463333333,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
-27.763642333333337,-109.47173281666666,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0
-27.763755716666665,-109.471663166666666,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
-27.76433278333333,-109.47108060000001,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0
-27.764430666666666,-109.47128963333333,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
-27.76390788333333,-109.47217625,,,0,no,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
-27.763587683333338,-109.472034900000004,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-27.763984966666666,-109.47260715000001,,,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
-27.764262016666667,-109.47266061666666,,,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-27.76433145,-109.47267825000001,,,0,no,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0
-27.764174000000004,-109.47218120000001,-INSPECCION DOMICILIARIA -FUMIGACION,,0,no,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
-27.76449206666667,-109.47217906666666,,,0,no,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
